Date,AAPL,NVDA,AMD
2024-09-09,,,
2024-09-10,-0.0036213894446761596,0.015309412795468935,0.033948625759046
2024-09-11,0.011585072193410095,0.0814986408185927,0.04914592867851231
2024-09-12,0.0004941944544332166,0.01916169869313422,0.006072358590705429
2024-09-13,-0.0012120982739607378,-0.0003358244853007841,0.010214188780878652
2024-09-16,-0.02777526108721995,-0.01947942981514994,-0.0015100501032480063
2024-09-17,0.0021726197330820263,-0.01019005216080282,-0.008285076878389752
2024-09-18,0.01798980365419145,-0.019205825423085243,-0.016775055796457772
2024-09-19,0.03706556062944655,0.03969309803779031,0.05698302373462605
2024-09-20,-0.002927445291917685,-0.01586498785211532,-0.005040248291661165
2024-09-23,-0.007581065072062465,0.0022414536029236043,0.005129868979884211
2024-09-24,0.003974025096690426,0.03965245112511906,0.010015995688795742
2024-09-25,-0.004398090277356381,0.021841686709989094,0.023370368728350854
2024-09-26,0.005080160307070036,0.004291140394100168,0.033761270685467304
2024-09-27,0.001186658354039194,-0.021283432507340883,-0.01874738364479067
2024-09-30,0.02287209031333859,0.00032944699860326665,-0.00164286134733016
2024-10-01,-0.02914169158910973,-0.03656128630656896,-0.026389576930362812
2024-10-02,0.0025198182488839205,0.0158119428443666,0.00018778578589584427
2024-10-03,-0.0048946807787199065,0.033655917796469925,0.01921396512500495
2024-10-04,0.005007337478568852,0.0168497822186644,0.04943191581983597
2024-10-07,-0.02253089110905182,0.022414401985419108,0.000409639126500716
2024-10-08,0.018404132056073275,0.04047910153644141,0.010703642849556827
2024-10-09,0.0166983296102583,-0.001806117853841327,-0.010300918679750914
2024-10-10,-0.002178322879048733,0.016283551905130533,-0.03999538899427524
2024-10-11,-0.006505261521967731,-7.404159439405866e-05,0.02259719137150662
2024-10-14,0.01647985820184883,0.024258230009921666,-0.015605426926632249
2024-10-15,0.011024667131840804,-0.04686036204385957,-0.05221761154301929
2024-10-16,-0.008851953433846371,0.03130685671712974,-0.0032558382841110234
2024-10-17,0.001596408256691939,0.008915493589708223,0.0007685589792785219
2024-10-18,0.012276521799192697,0.007814170167830703,-0.0017919921875000355
2024-10-21,0.00629787506078916,0.041376881037527014,0.012374127464743978
2024-10-22,-0.0026217803148534946,-0.000834960880457869,-0.02412918116444951
2024-10-23,-0.02162297949754044,-0.02806609759965506,-0.007657814938185514
2024-10-24,-0.0008234222611660513,0.006090595267023602,0.003466083098578876
2024-10-25,0.003643263731883728,0.008047791520481296,0.018182959083295147
2024-10-28,0.00859935641457632,-0.007206300655317244,0.023619039507890127
2024-10-29,0.0011568288269685478,0.0051948523074674124,0.039582303048599554
2024-10-30,-0.015277911173601555,-0.013522131367541323,-0.10616537682095861
2024-10-31,-0.018209488262373785,-0.04722255964418476,-0.030484512740472258
2024-11-01,-0.013279609691562944,0.01988548444132565,-0.015339811213403554
2024-11-04,-0.004037561216745256,0.004800637003917307,-0.008106540896211323
2024-11-05,0.006486286726520074,0.02837184152782335,0.006751452653783074
2024-11-06,-0.0032670420827621838,0.04074045792366765,0.02428351230041903
2024-11-07,0.021372178566067213,0.022457420728202893,0.03252929718924924
2024-11-08,-0.0011882147854568315,-0.00839621378458133,-0.012481713286328633
2024-11-11,-0.012028591561573432,-0.016053695027453685,-0.004055362332561985
2024-11-12,0.0,0.02085911460976475,-0.02524602013310928
2024-11-13,0.003969089994608321,-0.013621831983099408,-0.030146916966183546
2024-11-14,0.01377050629962362,0.0033498394103430584,-0.003302273537612699
2024-11-15,-0.014109162954561882,-0.032570089769523136,-0.02837800738497276
2024-11-18,0.013422248295838157,-0.012889219403744656,0.029873973029155954
2024-11-19,0.0011401778793000972,0.04894762508066752,0.0033110684381931765
2024-11-20,0.003154020989376116,-0.007618486605591168,-0.012841619154679074
2024-11-21,-0.0020960027432259665,0.005346566452327561,-0.0007994230048856688
2024-11-22,0.0059075362029243905,-0.03218122213305541,0.006255004552998766
2024-11-25,0.013050819603222186,-0.04177517113780349,0.02009395487280896
2024-11-26,0.009404379438592514,0.00661669446017199,-0.02416214514369841
2024-11-27,-0.0005530800860615859,-0.011539692410860947,-0.010746410938286988
2024-11-29,0.01021587339619856,0.021501536097877194,0.006899494603032297
2024-12-02,0.009522577464861515,0.0027485392899699868,0.035573736283440294
2024-12-03,0.012771833107112718,0.011758018654955293,-0.0005631552332083789
2024-12-04,0.0014835866434415035,0.03479252310373826,0.014156992718060257
2024-12-05,0.00012350683544171126,-0.00048234934732460655,-0.018265190516555396
2024-12-06,-0.0008229201890908033,-0.018061532744780284,-0.019595389505523864
2024-12-09,0.016101115959135104,-0.02548449173247036,-0.055703885018376864
2024-12-10,0.004133784664764217,-0.026943187698908355,-0.023916843968819657
2024-12-11,-0.005166060007357087,0.03139104045762742,0.018866416729433677
2024-12-12,0.00596372191861172,-0.01414111603569801,0.003457642936112393
2024-12-13,0.0006856123428502503,-0.022498847405359124,-0.02825422870563643
2024-12-16,0.011727589968011376,-0.016759867351583302,-0.0017335215062231901
2024-12-17,0.009719616841789014,-0.012196863234310573,-0.01318182781717303
2024-12-18,-0.021421768297346322,-0.011350607336730656,-0.028875324571185246
2024-12-19,0.007014636544004471,0.013730391877144754,-0.020838533336450138
2024-12-20,0.018815829425706143,0.03076226508873603,0.0027759239458191587
2024-12-23,0.003064998264964869,0.03689676980343015,0.04521432288435023
2024-12-24,0.011478028723955758,0.003937965031438617,0.013563422649296886
2024-12-26,0.0031757482621099786,-0.0020682468117294572,-0.009739514989443365
2024-12-27,-0.013242202847801088,-0.020867552000376932,0.0010395401035538931
